rank,title,title_english,title_japanese,type,members,score,year
1,Majo no Takkyuubin,Kiki's Delivery Service,魔女の宅急便,Movie,632472,8.23,1989
2,Dragon Ball Z,Dragon Ball Z,ドラゴンボールZ,TV,1285340,8.2,1989
3,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,OVA,66670,7.99,1989
4,City Hunter 3,City Hunter 3,シティーハンター3,TV,36126,7.8,1989
5,Ranma ½,Ranma ½,らんま1/2,TV,274284,7.77,1989
6,Kidou Keisatsu Patlabor: On Television,Patlabor: The Mobile Police - The TV Series,機動警察パトレイバー ON TELEVISION,TV,43908,7.69,1989
7,Kidou Keisatsu Patlabor the Movie,Patlabor: The Movie,機動警察パトレイバー the Movie,Movie,52782,7.56,1989
8,Yawara!,Yawara!,YAWARA!,TV,24079,7.49,1989
9,City Hunter: Ai to Shukumei no Magnum,City Hunter: .357 Magnum,シティーハンター 愛と宿命のマグナム,Movie,9949,7.38,1989
10,Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,Alfred J. Kwak,小さなアヒルの大きな愛の物語 あひるのクワック,TV,6406,7.37,1989
11,Kimagure Orange☆Road OVA,Kimagure Orange Road OVA,きまぐれオレンジ☆ロード,OVA,9357,7.35,1989
12,Time Travel Tondekeman!,Time Quest,たいむとらぶる トンデケマン!,TV,2978,7.35,1989
13,Gosenzo-sama Banbanzai!,Long Life To The Ancestors,御先祖様万々歳!,OVA,10793,7.3,1989
14,Miracle Giants Doumu-kun,Miracle Giants Doumu-kun,ミラクル・ジャイアンツ童夢くん,TV,2098,7.23,1989
15,Madou King Granzort,Mado King Granzort,魔動王グランゾート,TV,3295,7.2,1989
16,Tenkuu Senki Shurato,Tenkuu Senki Shurato,天空戦記シュラト,TV,12355,7.18,1989
17,Little Nemo,Little Nemo: Adventures in Slumberland,リトル・ニモ,Movie,11073,7.18,1989
18,Doraemon Movie 10: Nobita no Nippon Tanjou,Doraemon the Movie: Nobita and the Birth of Japan,映画 ドラえもん のび太の日本誕生,Movie,6202,7.17,1989
19,Shin Captain Tsubasa,Shin Captain Tsubasa,新・キャプテン翼,OVA,13697,7.14,1989
20,Kyoushoku Soukou Guyver (1989),The Guyver: Bio-Booster Armor,強殖装甲ガイバー,OVA,15765,7.09,1989
21,Riding Bean,Riding Bean,ライディング・ビーン,OVA,25651,7.06,1989
22,Jungle Book Shounen Mowgli,The Jungle Book,ジャングルブック・少年モーグリ,TV,8311,6.99,1989
23,Idol Densetsu Eriko,Legendary Idol Eriko,アイドル伝説えり子,TV,7086,6.89,1989
24,Warau Salesman,Laughing Salesman,笑ゥせぇるすまん,TV,7853,6.88,1989
25,Ace wo Nerae! Final Stage,Ace wo Nerae! Final Stage,「エースをねらえ！」 —ファイナル・ステージ—,OVA,3303,6.82,1989
26,Aoi Blink,Blue Blink,青いブリンク,TV,2658,6.81,1989
27,Lupin III: Bye Bye Liberty - Kiki Ippatsu!,Lupin III: Goodbye Lady Liberty,ルパン三世『バイバイ・リバティー危機一発！,TV Special,9702,6.78,1989
28,Venus Senki,Venus Wars,ヴィナス戦記,Movie,17398,6.77,1989
29,Peter Pan no Bouken,Peter Pan & Wendy,ピーターパンの冒険,TV,5293,6.77,1989
30,Dash! Yonkurou,Dash! Yonkurou,ダッシュ！四駆郎,TV,2694,6.77,1989
31,Saint Seiya: Saishuu Seisen no Senshi-tachi,Saint Seiya: Warriors of the Final Holy Battle,聖闘士星矢 最終聖戦の戦士たち,Movie,17752,6.76,1989
32,Jungle Taitei (1989),Jungle Taitei (1989),ジャングル大帝,TV,5928,6.72,1989
33,Juushin Liger,Bio Armor Ryger,獣神ライガー,TV,3022,6.7,1989
34,Konchuu Monogatari Minashigo Hutch (1989),Konchuu Monogatari Minashigo Hutch (1989),昆虫物語みなしごハッチ,TV,2278,6.7,1989
35,Tatakae! Chou Robot Seimeitai Transformers Victory,Transformers Victory,戦え! 超ロボット生命体トランスフォーマーV[ビクトリー],TV,3866,6.68,1989
36,Kasei Yakyoku,Nightsong of Splendor,華星夜曲,OVA,4126,6.66,1989
37,Crusher Joe OVA,Crusher Joe: The OVAs,クラッシャージョウ,OVA,4502,6.64,1989
38,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,Dragon Ball Z: Dead Zone,ドラゴンボールZ オラの悟飯をかえせッ!!,Movie,130916,6.62,1989
39,Seton Doubutsuki,Seton Animal Chronicles,シートン動物記,TV,1222,6.62,1989
40,Five Star Stories,The Five Star Stories,ファイブスター物語,Movie,15539,6.58,1989
41,Yoroiden Samurai Troopers Gaiden,Ronin Warriors Gaiden,鎧伝サムライトルーパー外伝,OVA,3867,6.57,1989
42,Mahoutsukai Sally 2,Mahoutsukai Sally 2,魔法使いサリー２,TV,2170,6.53,1989
43,Dorami-chan: Mini-Dora SOS!!!,Dorami-chan: Mini-Dora SOS!!!,ドラミちゃん ミニドラSOS!!!,Movie,1232,6.5,1989
44,Akuma-kun,Akuma-kun,悪魔くん,TV,2944,6.5,1989
45,AIUEO Anime Sekai no Douwa: Aesop Monogatari Anime Series,AIUEO Anime Sekai no Douwa: Aesop Monogatari Anime Series,あいうえお・アニメ世界の童話 イソップ物語アニメシリーズ,TV,1016,6.5,1989
46,Yoroiden Samurai Troopers Kikoutei Densetsu,Ronin Warriors Legend of Kikoutei,鎧伝サムライトルーパー輝煌帝伝説,OVA,3319,6.49,1989
47,Anime Sanjuushi: Aramis no Bouken,The Three Musketeers: Aramis the Adventure,アニメ三銃士　アラミスの冒険,Movie,1946,6.48,1989
48,Midnight Eye: Gokuu,Goku: Midnight Eye,MIDNIGHT EYE　ゴクウ,OVA,15362,6.46,1989
49,Manga Hajimete Omoshiro Juku,Manga Hajimete Omoshiro Juku,まんがはじめて面白塾,TV,615,6.42,1989
50,Hello Kitty no Cinderella,Hello Kitty in Cinderella,ハローキティのシンデレラ,Movie,1829,6.42,1989
